stars	language	updated	issues	size	forks	watchers	repo	created	description
0	Ruby	2016-12-02	0	9	1	0	https://github.com/harvard-library/harvard-ead-importer	2016-09-30	ArchivesSpace plugin overriding EAD Importer to implement specific fixes.
0	Ruby	2014-10-09	0	1265	0	0	https://github.com/harvard-library/geosearch_solr_prep	2014-08-06	geosearch_solr_prep
0	Ruby	2020-11-16	0	26	0	0	https://github.com/harvard-library/devise_harvard_auth_proxy	2014-05-01	Devise plugin to use the Harvard authentication proxy.
0	Ruby	2017-11-01	0	35	0	0	https://github.com/harvard-library/aspace-linkomatic	2017-02-21	A plugin to help automate the insertion of links to digitized records into Archives Space.
0		2022-10-03	0	7	0	0	https://github.com/cga-harvard/Twitter-Sentiment-Geographical-Index	2022-12-14	Twitter Sentiment Geographical Index
0	Java	2022-06-07	0	56	0	0	https://github.com/kurator-org/ffdq-api	2016-12-15	An API for making Fitt4Use Framework assertions available to Data Quality reports.
0	Python	2022-11-08	0	28454	0	0	https://github.com/Colin-Fredericks/edx_replace_staff	2022-03-28	
0	Java	2022-11-15	4	2399	0	0	https://github.com/kurator-org/kurator-ffdq	2016-11-02	FFDQ framework for data quality assertions
0	Java	2022-12-14	4	309	1	0	https://github.com/kurator-org/kurator-fp-validation	2015-03-03	Biodiversity data validation actors and workflows derived from the FP-Akka package
0	Go	2019-02-01	0	1705	0	0	https://github.com/cbdb-project/ip-director	2018-10-29	Direct IPs from different geographic locations to different URLs
0	Ruby	2022-05-06	0	62850	0	0	https://github.com/berkmancenter/eda	2014-07-03	Emily Dickinson Archive platform
0		2022-12-20	0	20	0	0	https://github.com/MCZbase/queries_MCZbase	2017-11-21	A library of SQL queries and scripts used with MCZbase
0	Java	2018-04-23	0	9130	0	0	https://github.com/MCZbase/eDecViewer	2015-08-21	USFWS eDec generation tool for MCZbase and Arctos
0	HTML	2021-03-08	0	3450	0	0	https://github.com/MCZbase/datashot_web	2016-11-24	
0	Java	2022-01-27	0	25154	0	0	https://github.com/MCZbase/datashot_ejb	2016-11-24	
0		2021-03-08	0	81	0	0	https://github.com/MCZbase/datashot_ee	2016-11-24	
0	Java	2022-10-05	1	27192	0	0	https://github.com/FilteredPush/FP-KurationServices	2016-12-20	
0	PHP	2017-06-12	0	26	0	0	https://github.com/DRSC-FG/gene2function	2017-06-09	
